dms_code,venue_name,city,state,blacklisted_by,remark
-,SAARTHY ACADEMY,SURAT,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
EST-AR-1161,AP COMPUTER POINT,ITANAGAR,ARUNACHAL PRADESH,NTA,CUSTOMER SPECIFIC BLACKLISTED
EST-JH-1521,OASIS SCHOOL,HAZARIBAGH,JHARKHAND,NTA,CUSTOMER SPECIFIC BLACKLISTED
EST-WB-1130,MALLABHUM INSTUTE OF TECHNOLOGY,BANKURA,WEST BENGAL,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
EST-WB-1141,SANTINIKETAN POLYTEHCNIC,DURGAPUR,WEST BENGAL,NTA,CUSTOMER SPECIFIC BLACKLISTED
EST-WB-1370,CONSOLE MANAGEMENT CONSULTANTS PVT. LTD.,KOLKATA,WEST BENGAL,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3043,SUCCESS POINT,PATNA,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3055,SIMPLE INFOTECH PVT LTD,PATNA,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3214,PREETI INFOTECH,BETTIAH,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3216,MAA AMBAY COMPUTERS CENTRE,BIHARSHARIF,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3218,INVENTORE ONLINE EXAMINATION CENTRE,CHAPRA,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3219,ROSHNI INSTITUTE OF MANAGEMENT AND TECHNOLOGY,CHAPRA,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3234,ARUSH ANAND INFOTECH,MOTIHARI,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3240,FIRST INSTITUTE,PURNEA,BIHAR,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3242,GOPAL NARAYAN SINGH UNIVERSITY,ROHTAS,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3376,SITYOG INSTITUTE OF TECHNOLOGY,AURANGABAD (BIHAR),BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-BR-3428,KRISHNA DIGIETAL,DARBHANGA,BIHAR,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3146,SHUBHASTI SKILL DEVELOPMENT CENTERSHUBHASTI SKILL,KANPUR,UTTAR PRADESH,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3293,ROHILKHAND COMPUTER TRANING INSTITUTE BIJNOR,BIJNOR,UTTAR PRADESH,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3302,MGA INSTITUTE OF POLITECHNIC,KANPUR,UTTAR PRADESH,Other Agency,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3346,INSTITUTE OF EDUCATIONAL AND SOCIAL REFORMS,JAUNPUR,UTTAR PRADESH,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3429,MORADABAD INFOTECH MORADABAD,MORADABAD,UTTAR PRADESH,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3461,JAN KALYAN SEWA SAMITI,JAUNPUR,UTTAR PRADESH,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR1-UP-3500,SWAMI VIVEKANAND SUBHARTI UNIVERSITY,MEERUT,UTTAR PRADESH,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR2-CH-4065,DIGITAL GLOBAL INTERNET TECHNOLOGY PVT LTD,CHANDIGARH,CHANDIGARH,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-CH-4067,KHALSA INFOTECH SERVICE,CHANDIGARH,CHANDIGARH,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4012,SBN 30 ONLINE TEST CENTER,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4028,ELBRUS ASSESSMENT CENTRE,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4039,MAFINGA ASSESSMENT CENTRE,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4063,AZTECH ONLINE TEST CENTRE,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4491,INDER SINGH PUBLIC SCHOOL,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4494,BHARTI VIDYA NIKETAN PUBLIC SCHOOL,NEW DELHI,DELHI,CROWN,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4502,S D PUBLIC SCHOOL,NEW DELHI,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4588,TITIKSHA PUBLIC SCHOOL,NORTH WEST,DELHI,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
NR2-DL-4615,JAGDAMBE ONLINE SOLUTION 022,WEST DELHI,DELHI,CROWN,CUSTOMER SPECIFIC BLACKLISTED
