dms_code,venue_name,venue_address,pincode,region,state,city,status,google_ratings,google_review_count
EST-AN-1149,GOVERNMENTERNMENT INDUSTRIAL TRAINING INSTITUTE-ARONG,"ARONG, CAR NICOBAR, NICOBAR, ANDAMAN & NICOBAR ISLANDS - 744301, LANDMARK: NEAR GOVERNMENT SCHOOL ARONG",744301,EAST,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AN-1150,AISECT COMPUTER EDUCATION,"RANGAT BAZAR, MIDDLE ANDAMAN, NORTH AND MIDDLE ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744205, LANDMARK: NEAR BSNL OFFICE",744205,EAST,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Inactive,Closed,Closed
EST-AN-1151,GOVERNMENT VOCATIONAL TRAINING INSTITUTE,"BAKULTALA, RANGAT, MIDDLE ANDAMAN, NORTH & MIDDLE ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744205, LANDMARK: BAKULTALA, RANGAT",744205,EAST,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AN-1154,SAI EDUCATION CENTRE,"NBCE - PORT BLAIR, SUPPLY LANE, RAJIV GANDHI NAGAR, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS",744104,EAST,ANDAMAN AND NICOBAR ISLANDS,PORT BLAIR,Active,4.9,86
EST-AN-1158,ADY'S & CO,"ROOM NO 04, SECOND FLOOR, RADHA KRISHNA COMPLEX, JUNGLIGHAT, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS",744103,EAST,ANDAMAN AND NICOBAR ISLANDS,PORT BLAIR,Active,-,-
EST-AN-1526,ANNAMALAI CENTER,"NEAR EQUAL SIGN, 101/2 MG ROAD, MIDDLE POINT, PORT BLAIR, ANDAMAN & NICOBAR ISLANDS",744101,EAST,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Active,-,-
EST-AN-1152,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-DOLLYGUNJ,"DOLLYGUNJ, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744103, LANDMARK: NEAR SLRM CENTER",744103,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AN-1153,DR B R AMBEDKAR INSTITUTE OF TECHNOLOGY,"NEAR SBI DOLLYGUNJ BRANCH, PAHARGAON, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744103, LANDMARK: NEAR SBI DOLLYGUNJ BRANCH",744103,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Active,3.9,217
EST-AN-1155,INDIA COMPUTER TECHNOLOGY,"2ND FLOOR, HIRA BHAVAN, ABERDEEN BAZAAR, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLAND - 744101, LANDMARK: NEAR ABERDEEN CLOCK TOWER, UPSTAIR BANK OF BARODA",744101,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Active,4.3,4
EST-AN-1156,SIS COMPUTER EDUCATION,"3RD FLOOR, 23 MG ROAD, MIDDLE POINT, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744101, LANDMARK: ABOVE UCO BANK",744101,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Active,3.6,3
EST-AN-1157,SWADHIN PORT BLAIR PVT ITI,"PROTHRAPUR, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744105, LANDMARK: NEAR NHIDCL & ST. JOSEPH'S CATHOLIC CHURCH",744105,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Inactive,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AN-1610,INDIA COMPUTER TECHNOLOGY-MIDDLE POINT,"1ST FLOOR, SHIVANAND BUILDING, MIDDLE POINT, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN & NICOBAR ISLANDS - 744101, LANDMARK: OPPOSITE BJP BHAWAN",744101,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,Active,4.3,9
EST-AR-1154,GOVERNMENTERNMENT INDUSTRIAL TRAINING INSTITUTE-BALINONG-MIAO,"BALINONG, KHARSANG, CHANGLANG, ARUNACHAL PRADESH - 792122, LANDMARK: BALINONG",792122,EAST,ARUNACHAL PRADESH,CHANGLANG,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1160,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING BROWSING CENTER ADJACENT TO MASS COMMUNICATION-RAJIV GANDHI UNIVERSITY-ITANAGAR,"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, RAJIV GANDHI UNIVERSITY, RONO HILLS, DOIMUKH, ITANAGAR, ARUNACHAL PRADESH - 791112, LANDMARK: RONO HILLS",791112,EAST,ARUNACHAL PRADESH,ITANAGAR,Inactive,4.2,22
EST-AR-1161,AP COMPUTER POINT,"JOHALANG ROAD, ITANAGAR, ARUNACHAL PRADESH - 791111, LANDMARK: NEAR CENTRAL DISTRICT JAIL",791111,EAST,ARUNACHAL PRADESH,ITANAGAR,Black listed,5,5
EST-AR-1162,RAJIV GANDHI UNIVERSITY,"UNIVERSITY ROAD, RONO HILLS, DOIMUKH, ITANAGAR, PAPUM PARE, ARUNACHAL PRADESH - 791112, LANDMARK: DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING BROWSING CENTER ADJACENT TO MASS COMMUNICATION-RAJIV GANDHI UNIVERSITY-ITANAGAR",791112,EAST,ARUNACHAL PRADESH,ITANAGAR,Active,3.4,43
EST-AR-1164,NERIST ONLINE TEST CENTER,"NERIST ONLINE TEST CENTER, FIRST FLOOR, DEPARTMENT OF MECHANICAL ENGINEERING, NERIST MAIN BLOCK, NIRJULI, ITANAGAR, ARUNACHAL PRADESH - 791109, LANDMARK: NERIST MAIN BLOCK",791109,EAST,ARUNACHAL PRADESH,ITANAGAR,Active,5,5
EST-AR-1520,HIMALAYAN UNIVERSITY,"JULLANG VILLAGE, ITANAGAR, PAPUMPARE, ARUNACHAL PRADESH - 791111, LANDMARK: NEAR CENTRAL JAIL",791111,EAST,ARUNACHAL PRADESH,ITANAGAR,Active,3.9,3
EST-AR-1155,GOVERNMENTERNMENT INDUSTRIAL TRAINING INSTITUTE-ROING,"ROING, LOWER DIBANG VALLEY, ARUNACHAL PRADESH - 792110, LANDMARK: OPPOSITE BRHMAPUTRA BOARD OFFICE, BESIDE TATA MOTORS SHOWROOM",792110,EAST,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1156,GOVERNMENTERNMENT INDUSTRIAL TRAINING INSTITUTE-YUPIA,"POLICE COLONY, YUPIA, PAPUM PARE, ARUNACHAL PRADESH - 791110, LANDMARK: NEAR DISTRICT & SESSIONS COURT, YUPIA",791110,EAST,ARUNACHAL PRADESH,PAPUM PARE,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1159,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-SAGALEE,"SAGALEE, PAPUM PARE, ARUNACHAL PRADESH - 791112, LANDMARK: CHRISTIAN REVIVAL CHURCH, SANGRING",791112,EAST,ARUNACHAL PRADESH,PAPUM PARE,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1157,GOVERNMENTERNMENT INDUSTRIAL TRAINING INSTITUTE-TABARIJO,"TABARIJO, DAPORIJO, UPPER SUBANSIRI, ARUNACHAL PRADESH - 791122, LANDMARK: NH 13",791122,EAST,ARUNACHAL PRADESH,UPPER SUBANSIRI,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1158,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-DIRANG,"DIRANG, WEST KAMENG, ARUNACHAL PRADESH - 790101, LANDMARK: NEAR DIRANG BOUTIQUE COTTAGES",790101,EAST,ARUNACHAL PRADESH,WEST KAMENG,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AR-1163,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-MANIPOLYANG-ZIRO,"MANIPOLYANG, ZIRO, ARUNACHAL PRADESH - 791120, LANDMARK: NEAR PARADISE GUEST HOUSE",791120,EAST,ARUNACHAL PRADESH,ZIRO,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1476,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-PATHSALA,"P.O. - PATHASALA, DISTRICT - BAJALI, ASSAM - 781325, LANDMARK: NEAR IDP PATHSALA",781325,EAST,ASSAM,BAJALI,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1159,BAISHNAB TECHNOLOGIES,"2ND FLOOR, NABIN BAZAR, K.K. ROAD, BARPETA TOWER, BARPETA, ASSAM - 781301, LANDMARK: NEAR CENTRAL BANK OF INDIA BARPETA TOWN BRANCH",781301,EAST,ASSAM,BARPETA,Inactive,4.4,5
EST-AS-1160,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-BARPETA,"SUNDARIDIA, JOTI GAON, BARPETA, ASSAM - 781314, LANDMARK: NEAR OFFICE OF THE SUPERINTENDENT OF POLICE, BARPETA",781314,EAST,ASSAM,BARPETA,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1477,IDEAL TECHNICAL INSTITUTE-HOWLY,"HOWLY TOWN, BARPETA, ASSAM - 781316, LANDMARK: B B COMPLEX",781316,EAST,ASSAM,BARPETA,Active,4.3,4
EST-AS-1594,INDUSTRIAL TRAINING INSTITUTE-HOWLY (PRIVATE),"HOWLY TOWN, WARD NO. 9, PO&PS - HOWLY, BARPETA, ASSAM - 781316, LANDMARK: NEAR HOWLY POLICE STAION",781316,EAST,ASSAM,BARPETA,Active,-,-
EST-AS-1595,INDUSTRIAL TRAINING INSTITUTE-KALGACHIA (PRIVATE),"KALGACHIA COLLEGE ROAD, PO&PS- KALGACHIA, BARPETA, ASSAM - 781319, LANDMARK: NEAR EPITOM COMPUTER INSTITUTE",781319,EAST,ASSAM,BARPETA,Active,-,-
EST-AS-1478,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-BISWANATH CHARIALI,"P.O. - BURIGANJ, DISTRICT - BISWANATH, ASSAM - 784176, LANDMARK: NEAR BALIPUKHURI MV SCHOOL",784176,EAST,ASSAM,BISWANATH,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1161,DISTRICT COMPUTER CENTRE-BONGAIGAON,"BORO BAZAR, BORPARA, MAYAPURI, BONGAIGAON, ASSAM - 783380, LANDMARK: NEAR BIRJHORA KANYA MAHAVIDYALAYA",783380,EAST,ASSAM,BONGAIGAON,Active,4.9,8
EST-AS-1408,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-BONGAIGAON,"ITI ROAD, NEW COLONY, MAHABIRSTAN, BONGAIGAON, ASSAM - 783380, LANDMARK: NEAR DISTRICT LIBRARY",783380,EAST,ASSAM,BONGAIGAON,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1596,KAZIRANGA INDUSTRIAL TRAINING INSTITUTE-BONGAIGAON,"PAWAN KUMAR PATH, WARD NO. 5, BONGAIGAON, ASSAM - 783380, LANDMARK: NEAR CHILARAY WEEKLY MARKET",783380,EAST,ASSAM,BONGAIGAON,Active,4,128
EST-AS-1786,TAPATTARY INDUSTRIAL TRAINING INSTITUTE (RUNNING UNDER PPP MODE),"VILLAGE - DEOHATI PART II, PO & PS - ABHAYAPURI, BONGAIGAON, ASSAM - 783384, LANDMARK: NEAR BIHU FIELD PARBOTIPUR",783384,EAST,ASSAM,BONGAIGAON,Active,-,-
EST-AS-1479,INDUSTRIAL TRAINING INSTITUTE-SONARI,"TITLAGRAH CHARIALI BORHAT, NAMRUP SONARI ROAD, CHARAIDEO, ASSAM - 782140, LANDMARK: NEAR PB HOSPITAL & DIAGNOSTIC RESEARCH CENTRE",782140,EAST,ASSAM,CHARAIDEO,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
EST-AS-1597,SONARI INDUSTRIAL TRAINING INSTITUTE-CHARAIDEO,"SURUJ NAGAR, CHARAIDEO, ASSAM - 785690, LANDMARK: NEAR P.B. HOSPITAL",785690,EAST,ASSAM,CHARAIDEO,Active,-,-
EST-AS-1480,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE-KAJALGAON,"KAJALGAON, CHIRANG, ASSAM - 783381, LANDMARK: NEAR N C BRAHMA ME SCHOOL",783381,EAST,ASSAM,CHIRANG,Active,Govt. Venues/IITs/IIMs,Govt. Venues/IITs/IIMs
