sr,dms_code,exam_centre_name,venue_address,pincode,region,state,city,venue_status,blacklist_info,ffa_frequency,deo_remarks_summary,suspicious_summary,call_log_summary,market_remark,final_analysis,reason
1,EST-AN-1159,DEXIT GLOBAL LIMITED-SRI VIJAYA PURAM,"( FORMERLY KNOWN AS NSEIT LIMITED ), 198/1/2, 1ST FLOOR, DP ROAD, LELIPUR, HADDO, LAND MARK - BELOW D P COTTAGE LODGE, SRI VIJAYA PURAM, ANDAMAN AND NICOBAR ISLAND - 744102",744102.0,EAST,ANDAMAN AND NICOBAR ISLANDS,SRI VIJAYA PURAM,ACTIVE,,0,,,Power Related(8),,Average,Power Related(8)
2,EST-AR-1165,DEXIT GLOBAL LIMITED-ITANAGAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), HOUSE NO-D 813, WARD NO-16, SECTOR P, PAPUM PARE, NEAR RAJ BHAWAN HELIPAD, LANDMARK - NEAR FOREST DEPARTMENT OFFICER COLONY, ITANAGAR, ARUNACHAL PRADESH - 791111",791111.0,EAST,ARUNACHAL PRADESH,ITANAGAR,ACTIVE,,0,,,,,Good,Good
3,EST-AS-1416,DEXIT GLOBAL LIMITED-BONGAIGAON,"( FORMERLY KNOWN AS NSEIT LIMITED ), MATRI PLAZA, 1ST FLOOR, BOC GATE, BOU BAZAAR, BEHIND ALLAHABAD BANK, NORTH BONGAIGAON, LAND MARK-NEAR KALI MONDIR, BONGAIGAON, ASSAM - 783380",783380.0,EAST,ASSAM,BONGAIGAON,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
4,EST-AS-1417,DEXIT GLOBAL LIMITED-DHUBRI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, THE TOWN HOTEL, GTB ROAD, WARD NO. 06, LANDMARK - ABOVE THE TOWN HOTEL, DHUBRI, ASSAM - 783301",783301.0,EAST,ASSAM,DHUBRI,ACTIVE,,0,,,Power Related(8),,Average,Power Related(8)
5,EST-AS-1424,DEXIT GLOBAL LIMITED-DIBRUGARH,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, RCC BUILDING, JAIL ROAD, KHALIHAMARI, NEAR S.I.P.E LAW COLLEGE, DIBRUGARH, ASSAM - 786001",786001.0,EAST,ASSAM,DIBRUGARH,ACTIVE,,0,,,,,Good,Good
6,EST-AS-1425,DEXIT GLOBAL LIMITED-GOLAGHAT,"( FORMERLY KNOWN AS NSEIT LIMITED ), HOLDING NO-67,BEGNAKHOWA, WARD NO - 13, G.F ROAD, BELOW BANDHAN BANK MAIN BRANCH, GOLAGHAT, ASSAM - 785621",785621.0,EAST,ASSAM,GOLAGHAT,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
7,EST-AS-1420,DEXIT GLOBAL LIMITED-GUWAHATI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 5B, 5TH FLOOR, ROYAL SILVER TOWER, LACHIT NAGAR, LANDMARK - ADJACENT, TO PANTALOONS, ULUBARI, GUWAHATI, ASSAM - 781007",781007.0,EAST,ASSAM,GUWAHATI,ACTIVE,,2,,,Power Related(5),,Sensitive Venue,Found in FFA
8,EST-AS-1421,DEXIT GLOBAL LIMITED-JORHAT,"( FORMERLY KNOWN AS NSEIT LIMITED ), UPASANA BUILDING,3RD FLOOR, FLAT NUMBER-01, JAIL ROAD, NEAR K G NURSING HOME, LAND MARK - ABOVE DOORS INDIA SHOWROOM., JORHAT, ASSAM - 785001",785001.0,EAST,ASSAM,JORHAT,ACTIVE,,0,,,,,Good,Good
9,EST-AS-1419,DEXIT GLOBAL LIMITED-KARIMGANJ,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, HOLDING NO : 35, WARD NO:24, BIPIN PAUL ROAD, OPP. SHYAMA PRASAD ROAD, NEAR DAS TRADING, KARIMGANJ, ASSAM - 788711",788711.0,EAST,ASSAM,KARIMGANJ,ACTIVE,,0,,,,,Good,Good
10,EST-AS-1423,DEXIT GLOBAL LIMITED-NORTH LAKHIMPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, GULAP & SON'S COMMERCIAL COMPLEX, G.H.S.S ROAD, WARD NO - 8,OPPOSITE - GIRL'S H.S SCHOOL, ABOVE PUNJAB NATIONAL BANK. NORTH LAKHIMPUR, ASSAM - 787001",787001.0,EAST,ASSAM,NORTH LAKHIMPUR,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
11,EST-AS-1418,DEXIT GLOBAL LIMITED-SILCHAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 3RD FLOOR, JAGANNATH APARTMENT, HOSPITAL ROAD,BESIDE JAGANNATH TRAVELS/ABOVE IDBI BANK, SILCHAR, CACHAR, ASSAM - 788005",788005.0,EAST,ASSAM,SILCHAR,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",,Average,"PC Changed(2), Power Related(1)"
12,EST-AS-1422,DEXIT GLOBAL LIMITED-TEZPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 3RD FLOOR, KUNJ BHAWAN, NEAR BENGALI BOYS H.S.SCHOOL, A.H.ROAD, EAD GAH FIELD, TEZPUR, ASSAM - 784001",784001.0,EAST,ASSAM,TEZPUR,ACTIVE,,0,,,,,Good,Good
13,EST-CG-1373,DEXIT GLOBAL LIMITED-JAGDALPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 67/3, 1ST FLOOR,M M TOWER, AKASHWANI ROAD, NAYAPARA, LANDMARK - ABOVE AXIS BANK, JAGDALPUR, CHHATTISGARH - 494001",494001.0,EAST,CHHATTISGARH,JAGDALPUR,ACTIVE,,0,,,,,Good,Good
14,EST-JH-1397,DEXIT GLOBAL LIMITED-BOKARO,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, RAI BROTHERS MARKET, JORA MANDIR ROAD, FURNITURE GALI, SARVODAY NAGAR (BYPASS ROAD), LANDMARK - NEAR JHARKHAND GRAMIN BANK, CHAS, BOKARO, JHARKHAND - 827013",827013.0,EAST,JHARKHAND,BOKARO,ACTIVE,,0,,,Power Related(3),,Average,Power Related(3)
15,EST-JH-1392,DEXIT GLOBAL LIMITED-CHAKRADHARPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), GROUND FLOOR, HOTEL LAKHDATAR, BUILDING, NEAR SHREE SHYAM GUEST HOUSE, RAJBARI ROAD, CHAKRADHARPUR, WEST SINGHBHUM, LANDMARK - OPPOSITE CITY STYLE, JHARKHAND - 833102",833102.0,EAST,JHARKHAND,CHAKRADHARPUR,ACTIVE,,0,,,,,Good,Good
