exam_name,centre_name,dms_code,exam_date
MUDRA,KOLKATA - EST-WB-1430-NXTERA SERVICES PRIVATE LIMITED,EST-WB-1430,6/14/2024
MUDRA,JALANDHAR - NR2-PB-4502-DAV INSTITUTE OF ENGINEERING AND TECHNOLOGY,NR2-PB-4502,6/14/2024
MUDRA,KAKINADA - STH-AP-5696-SOFT TECHNOLOGIES,STH-AP-5696,6/14/2024
MUDRA,HYDERABAD - STH-TS-5727-THE INSTITUTION OF ELECTRONICS AND TELECOMMUNICATION ENGINEERS-IETE,STH-TS-5727,6/14/2024
MUDRA,PUNE - WST-MH-2235-VISHWAKARMA COLLEGE OF ARTS COMMERCE AND SCIENCE-VIIT,WST-MH-2235,6/14/2024
IBIS JA,MOTIHARI - NR1-BR-3234-ARUSH ANAND INFOTECH,NR1-BR-3234,6/16/2024
IBIS JA,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER,NR2-HR-4592,6/16/2024
IBIS JA,JAMMU - NR2-JK-4488-DIGITAL COMPUTER EDUCATION,NR2-JK-4488,6/16/2024
IBIS JA,JALANDHAR - NR2-PB-4501-TRINITY COLLEGE,NR2-PB-4501,6/16/2024
MUDRA,BANGALORE - STH-KA-5034- E MERIT - RT NAGAR,STH-KA-5034,6/16/2024
MUDRA,AHMEDABAD - WST-GJ-2030-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT-AHMEDABAD,WST-GJ-2030,6/16/2024
MUDRA,BANGALORE - E PAREEKSHA,STH-KA-5035,6/21/2024
MUDRA,RAIGARH CG - UTTAM MEMORIAL COLLEGE,WST-CG-2500,6/21/2024
MUDRA,THANE - MBC-THANE,WST-MH-2243,6/21/2024
MUDRA,THANE - MBC-THANE,WST-MH-2745,6/21/2024
IBIS JA,MOTIHARI - NR1-BR-3234-ARUSH ANAND INFOTECH,NR1-BR-3234,6/22/2024
IBIS JA,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL,NR2-CH-1489,6/22/2024
IBIS JA,NEW DELHI - NR2-DL-4519-NEW OXFORD PUBLIC SCHOOL_1,NR2-DL-4519,6/22/2024
IBIS JA,NEW DELHI - NR2-DL-4519-NEW OXFORD PUBLIC SCHOOL-1,NR2-DL-4519,6/22/2024
IBIS JA,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER,NR2-HR-4592,6/22/2024
IBIS JA,MUMBAI - WST-MH-2464-BABASAHEB GAWDE INSTITUTE OF TECHNOLOGY,WST-MH-2464,6/22/2024
BHARAT,NAVI MUMBAI - WST-MH-2664-BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGIN AND TECH,WST-MH-2664,6/23/2024
BHARAT,PUNE - WST-MH-2746-AJEENKYA DY PATIL COLLEGE OF ENGINEERING,WST-MH-2746,6/23/2024
BHARAT,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES_2,WST-MH-2750,6/23/2024
BHARAT,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES_1,WST-MH-2750,6/23/2024
BHARAT,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES-2,WST-MH-2750,6/23/2024
BHARAT,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES-1,WST-MH-2750,6/23/2024
NARMADA ICAR,NOIDA - NR1-UP-3516-NTA EXAM CENTRE_A1,NR1-UP-3516,6/29/2024
NARMADA ICAR,NOIDA - NR1-UP-3516-NTA EXAM CENTRE-A1,NR1-UP-3516,6/29/2024
NARMADA ICAR,DEHRADUN - NR2-UK-4483-INSTITUTE OF TECHNOLOGY AND MANAGEMENT,NR2-UK-4483,6/29/2024
NARMADA ICAR,VIJAYAWADA - STH-AP-5022-LAXMI BALAJI COMPUTERS,STH-AP-5022,6/29/2024
NARMADA ICAR,JALGAON - WST-MH-2207-KCES COLLEGE OF ENGINEERING AND MANAGEMENT,WST-MH-2207,6/29/2024
NARMADA ICAR,JABALPUR - WST-MP-2147-LAKSHMI NARAIN COLLEGE OF TECHNOLOGY-LNCT_1,WST-MP-2147,6/29/2024
NARMADA ICAR,JABALPUR - WST-MP-2147-LAKSHMI NARAIN COLLEGE OF TECHNOLOGY-LNCT-1,WST-MP-2147,6/29/2024
BHARAT,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA,EST-WB-1445,6/30/2024
BHARAT,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI,STH-TN-5856,6/30/2024
BHARAT,MUMBAI - WST-MH-2684-NSEIT LIMITED NA MUMBAI,WST-MH-2684,6/30/2024
BHARAT,PUNE - WST-MH-2710-BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY INST OF MANAG AND ENTREPRE DEVE,WST-MH-2710,6/30/2024
MUDRA,MEERUT - NR1-UP-3552-NSEIT LIMITED - MEERUT,NR1-UP-3552,7/1/2024
MUDRA,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE - BLOCK-D,NR2-HR-4098,7/1/2024
MUDRA,SURAT - WST-GJ-2581-NSEIT LIMITED - SURAT,WST-GJ-2581,7/1/2024
MUDRA,THANE - WST-MH-2243-MBC-THANE,WST-MH-2243,7/1/2024
IBIS CA,DARBHANGA - NR1-BR-3017-MANGLAM INFOSOL,NR1-BR-3017,7/7/2024
IBIS CA,PATNA - NR1-BR-3590-MANGAL MURTI ONLINE EXAMINATION,NR1-BR-3590,7/7/2024
IBIS CA,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL,NR2-CH-1489,7/7/2024
IBIS CA,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER,NR2-HR-4592,7/7/2024
IBIS CA,PATIALA - NR2-PB-4512-SHRI GURU HARKISHAN COLLEGE OF MGT AND TECH ONLINE EXAMINATION CENTRE,NR2-PB-4512,7/7/2024
SILVER,KURNOOL - STH-AP-5014-SANDEEPANI EDUCATIONAL SOCIETY,STH-AP-5014,7/7/2024
SHIKHAR ATS,JAMSHEDPUR - EST-JH-1044-DBMS CAREER ACEDEMY,EST-JH-1044,7/9/2024
SHIKHAR ATS,BOKARO - EST-JH-1403-RR TECHNOLOGY,EST-JH-1403,7/9/2024
SHIKHAR ATS,KOLKATA - EST-WB-1420-TALENIQ TECHNOLOGIES PVT LTD,EST-WB-1420,7/9/2024
SHIKHAR ATS,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D,NR2-HR-4098,7/9/2024
SHIKHAR ATS,CHENNAI - STH-TN-5853-MOHAMMED SATHAK AJ COLLEGE OF ENGINEERING,STH-TN-5853,7/9/2024
NARMADA NCET,PATNA - NR1-BR-3627-HAANSA EDUCOM PRIVATE LIMITED,NR1-BR-3627,7/10/2024
NARMADA NCET,CHANDIGARH - NR2-CH-4281-CHANDIGARH UNIVERSITY_2,NR2-CH-4281,7/10/2024
NARMADA NCET,CHANDIGARH - NR2-CH-4281-CHANDIGARH UNIVERSITY-2,NR2-CH-4281,7/10/2024
NARMADA NCET,CHANDIGARH - NR2-PB-4505-DELHI WORLD PUBLIC SCHOOL_1,NR2-PB-4505,7/10/2024
NARMADA NCET,CHANDIGARH - NR2-PB-4505-DELHI WORLD PUBLIC SCHOOL-1,NR2-PB-4505,7/10/2024
