sr,raw_project_name,standard_project_name
1,AFMC,AFMC
2,AICL,AICL
3,Bharat 06,BHARAT
4,BHARAT,BHARAT
5,BITP 2025,BITP
6,BITP,BITP
7,Blackgold Bengaluru,BLACK GOLD
8,Blackgold,BLACK GOLD
9,BLACK GOLD,BLACK GOLD
10,CHETTINAD,CHETTINAD
11,Crown 1,CROWN
12,Crown 2,CROWN
13,Crown 3,CROWN
14,Crown 4,CROWN
15,Crown 5,CROWN
16,CROWN 03,CROWN
17,CROWN 05,CROWN
18,Project CROWN 4,CROWN
19,CROWN,CROWN
20,Daffodil,DAFFODIL
21,Denmark 5,DENMARK
22,Denmark,DENMARK
23,DENVER,DENVER
24,DevBhumi,DevBhumi
25,ECO,ECO
26,ECO 5,ECO
27,IBIS BCBF & DRA,IBIS BCBF DRA
28,IBIS B & DRA,IBIS BCBF DRA
29,IBIS B DRA,IBIS BCBF DRA
30,IBIS BCBF DRA,IBIS BCBF DRA
31,IBIS CAIIB,IBIS CA
32,IBIS CA,IBIS CA
33,IBIS DIP,IBIS DIP
34,IBIS JA Reschedule,IBIS JA
35,IBIS JA (RESCHEDULE),IBIS JA
36,IBIS JAIIB,IBIS JA
37,IBIS JA,IBIS JA
38,ISHA,ISHA
39,ISHA 12,ISHA
40,Kaziranga,KAZIRANGA
41,KAZIRANGA 4,KAZIRANGA
42,MUDRA AICITSS,MUDRA AICITSS
43,ISAAT,MUDRA ISAAT
44,MUDRA ISA AT,MUDRA ISAAT
45,MUDRA ISAT,MUDRA ISAAT
46,MUDRA ISAAT,MUDRA ISAAT
47,Mudra ITAT,MUDRA ITAT
48,MUDRA,MUDRA SPMT
49,MUDRA ICAI,MUDRA SPMT
50,NARKO 6,NARKO
51,NARKO,NARKO
52,Narmada Ayush,NARMADA AYUSH
53,Narmada BET,NARMADA BET
54,NARMADA GAT B,NARMADA GAT B
55,NARMADA ICAR,NARMADA ICAR
56,NARMADA JIPMAT,NARMADA JIPMAT
57,NARMADA NCET (Absentee),NARMADA NCET
58,NARMADA NCET,NARMADA NCET
59,NARMADA NCHM JEE,NARMADA NCHM JEE
60,NARMADA NIS PATIALA,NARMADA NIS PATIALA
61,Narmada NTET,NARMADA NTET
62,SWAYAM PHASE 3,NARMADA SWAYAM
63,Narmada Swayam,NARMADA SWAYAM
64,NECTOR 09,NECTOR
65,NECTOR,NECTOR
66,NIA,NIA
67,SHIKAR CTS,SHIKAR CTS
68,Project SHIKHAR ATS,SHIKHAR ATS
69,Shikhar ATS,SHIKHAR ATS
70,Shikhar CITS,SHIKHAR CITS
71,SHIKHAR CITS RESCHEDULED,SHIKHAR CITS
72,Shikhar CTS (Phase 2),SHIKHAR CTS
73,Shikhar CTS (PHASE-3),SHIKHAR CTS
74,Shikhar CTS (PHASE-4),SHIKHAR CTS
75,SHIKHAR CTS (SUPP),SHIKHAR CTS
76,Shikhar CTS,SHIKHAR CTS
77,SHIKHAR CTS SUPPLEMENTARY,SHIKHAR CTS
78,SHIKHAR CTS MAIN,SHIKHAR CTS MAIN
79,TANGO TN AU,TANGO AU
80,TANGO AU,TANGO AU
81,Tango EDM,TANGO EDM
82,Tango Heal AMO,TANGO HEAL AMO SIDDHA
83,TANGO-HEAL-AMO,TANGO HEAL AMO SIDDHA
84,TANGO HEAL AMO SIDDHA,TANGO HEAL AMO SIDDHA
85,TANGO-HEAL-HI,TANGO HEAL HI
86,TANGO HEAL HI,TANGO HEAL HI
87,Tango Heal MRB AMO,TANGO HEAL MRB AMO
88,TANGO MRB ASD,TANGO HEAL MRB ASD
89,TANGO HEAL MRB ASD,TANGO HEAL MRB ASD
90,Tango MRB SA,TANGO HEAL MRB SA
91,TANGO HEAL MRB SA,TANGO HEAL MRB SA
92,TANGO SPOTY,TANGO SPORTY
93,TANGO SPORTY,TANGO SPORTY
94,TANGO TRB TN AU,TANGO TRB TN AU
95,Tulsi,TULSI
96,UDAAN,UDAAN
97,NIA,NIA
98,TANGO HEAL MRB,TANGO HEAL MRB AMO
99,AICITSS 13,MUDRA AICITSS
100,LAKSHYA,LAKSHYA
101,Crown Fintech 1,CROWN
102,ISHA 13,ISHA
103,Tango-Heal-HI,TANGO HEAL HI
104,Tango-Heal-ASG,
105,Tango Ex Servicemen's Welfare,
106,Tango-Heal-SA,
107,Tango-Heal-ASG & ASSQ,
108,Tango-Heal-SQE,
