sr,month,exam_date,project_name,dms_code,concate
1,April    ,03-04-2025,SHIKHAR CITS,NR1-UP-3555,45750|SHIKHAR CITS|NR1-UP-3555
2,April    ,03-04-2025,SHIKHAR CITS,NR2-HR-4505,45750|SHIKHAR CITS|NR2-HR-4505
3,April    ,03-04-2025,SHIKHAR CITS,NR2-RJ-4564,45750|SHIKHAR CITS|NR2-RJ-4564
4,April    ,03-04-2025,SHIKHAR CITS,WST-MP-2585,45750|SHIKHAR CITS|WST-MP-2585
5,April    ,05-04-2025,IBIS BCBF DRA,EST-AS-1017,45752|IBIS BCBF DRA|EST-AS-1017
6,April    ,05-04-2025,IBIS BCBF DRA,EST-AS-1422,45752|IBIS BCBF DRA|EST-AS-1422
7,April    ,05-04-2025,IBIS BCBF DRA,EST-AS-1424,45752|IBIS BCBF DRA|EST-AS-1424
8,April    ,05-04-2025,IBIS BCBF DRA,EST-JH-1020,45752|IBIS BCBF DRA|EST-JH-1020
9,April    ,05-04-2025,IBIS BCBF DRA,EST-JH-1046,45752|IBIS BCBF DRA|EST-JH-1046
10,April    ,05-04-2025,IBIS BCBF DRA,EST-JH-1051,45752|IBIS BCBF DRA|EST-JH-1051
11,April    ,05-04-2025,IBIS BCBF DRA,EST-JH-1395,45752|IBIS BCBF DRA|EST-JH-1395
12,April    ,05-04-2025,IBIS BCBF DRA,EST-JH-1589,45752|IBIS BCBF DRA|EST-JH-1589
13,April    ,05-04-2025,IBIS BCBF DRA,EST-MZ-1202,45752|IBIS BCBF DRA|EST-MZ-1202
14,April    ,05-04-2025,IBIS BCBF DRA,EST-OR-1081,45752|IBIS BCBF DRA|EST-OR-1081
15,April    ,05-04-2025,IBIS BCBF DRA,EST-OR-1199,45752|IBIS BCBF DRA|EST-OR-1199
16,April    ,05-04-2025,IBIS BCBF DRA,EST-OR-1465,45752|IBIS BCBF DRA|EST-OR-1465
17,April    ,05-04-2025,IBIS BCBF DRA,EST-TR-1740,45752|IBIS BCBF DRA|EST-TR-1740
18,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1128,45752|IBIS BCBF DRA|EST-WB-1128
19,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1238,45752|IBIS BCBF DRA|EST-WB-1238
20,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1263,45752|IBIS BCBF DRA|EST-WB-1263
21,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1404,45752|IBIS BCBF DRA|EST-WB-1404
22,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1420,45752|IBIS BCBF DRA|EST-WB-1420
23,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1430,45752|IBIS BCBF DRA|EST-WB-1430
24,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1434,45752|IBIS BCBF DRA|EST-WB-1434
25,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1437,45752|IBIS BCBF DRA|EST-WB-1437
26,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1441,45752|IBIS BCBF DRA|EST-WB-1441
27,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1443,45752|IBIS BCBF DRA|EST-WB-1443
28,April    ,05-04-2025,IBIS BCBF DRA,EST-WB-1444,45752|IBIS BCBF DRA|EST-WB-1444
29,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3030,45752|IBIS BCBF DRA|NR1-BR-3030
30,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3227,45752|IBIS BCBF DRA|NR1-BR-3227
31,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3447,45752|IBIS BCBF DRA|NR1-BR-3447
32,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3463,45752|IBIS BCBF DRA|NR1-BR-3463
33,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3464,45752|IBIS BCBF DRA|NR1-BR-3464
34,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3465,45752|IBIS BCBF DRA|NR1-BR-3465
35,April    ,05-04-2025,IBIS BCBF DRA,NR1-BR-3467,45752|IBIS BCBF DRA|NR1-BR-3467
36,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3130,45752|IBIS BCBF DRA|NR1-UP-3130
37,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3139,45752|IBIS BCBF DRA|NR1-UP-3139
38,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3506,45752|IBIS BCBF DRA|NR1-UP-3506
39,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3548,45752|IBIS BCBF DRA|NR1-UP-3548
40,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3552,45752|IBIS BCBF DRA|NR1-UP-3552
41,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3553,45752|IBIS BCBF DRA|NR1-UP-3553
42,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3555,45752|IBIS BCBF DRA|NR1-UP-3555
43,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3556,45752|IBIS BCBF DRA|NR1-UP-3556
44,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3557,45752|IBIS BCBF DRA|NR1-UP-3557
45,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3558,45752|IBIS BCBF DRA|NR1-UP-3558
46,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3559,45752|IBIS BCBF DRA|NR1-UP-3559
47,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3626,45752|IBIS BCBF DRA|NR1-UP-3626
48,April    ,05-04-2025,IBIS BCBF DRA,NR1-UP-3632,45752|IBIS BCBF DRA|NR1-UP-3632
49,April    ,05-04-2025,IBIS BCBF DRA,NR2-DL-1726,45752|IBIS BCBF DRA|NR2-DL-1726
50,April    ,05-04-2025,IBIS BCBF DRA,NR2-DL-4047,45752|IBIS BCBF DRA|NR2-DL-4047
51,April    ,05-04-2025,IBIS BCBF DRA,NR2-HP-4492,45752|IBIS BCBF DRA|NR2-HP-4492
52,April    ,05-04-2025,IBIS BCBF DRA,NR2-JK-4486,45752|IBIS BCBF DRA|NR2-JK-4486
53,April    ,05-04-2025,IBIS BCBF DRA,NR2-JK-4487,45752|IBIS BCBF DRA|NR2-JK-4487
54,April    ,05-04-2025,IBIS BCBF DRA,NR2-PB-1728,45752|IBIS BCBF DRA|NR2-PB-1728
55,April    ,05-04-2025,IBIS BCBF DRA,NR2-PB-4378,45752|IBIS BCBF DRA|NR2-PB-4378
56,April    ,05-04-2025,IBIS BCBF DRA,NR2-PB-4473,45752|IBIS BCBF DRA|NR2-PB-4473
57,April    ,05-04-2025,IBIS BCBF DRA,NR2-PB-4516,45752|IBIS BCBF DRA|NR2-PB-4516
