sr,exam_date,project_name,dms_code,city,state,region,month
1,01-04-2025,MUDRA SPMT,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,April
2,01-04-2025,MUDRA SPMT,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,April
3,01-04-2025,MUDRA SPMT,NR1-UP-3554,AGRA,UTTAR PRADESH,NORTH ONE,April
4,01-04-2025,MUDRA SPMT,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,April
5,01-04-2025,MUDRA SPMT,NR2-DL-4526,DELHI,DELHI,NORTH TWO,April
6,01-04-2025,MUDRA SPMT,NR2-HR-4098,GURGAON (GURUGRAM),Delhi NCR,NORTH TWO,April
7,01-04-2025,MUDRA SPMT,NR2-PB-4514,CHANDIGARH,PUNJAB,NORTH TWO,April
8,01-04-2025,MUDRA SPMT,NR2-PB-4515,LUDHIANA,PUNJAB,NORTH TWO,April
9,01-04-2025,MUDRA SPMT,NR2-RJ-4559,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,April
10,01-04-2025,MUDRA SPMT,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,April
11,01-04-2025,MUDRA SPMT,NR2-RJ-4565,JODHPUR,RAJASTHAN,NORTH TWO,April
12,01-04-2025,MUDRA SPMT,NR2-RJ-4573,KOTA,RAJASTHAN,NORTH TWO,April
13,01-04-2025,MUDRA SPMT,NR2-UP-3613,NOIDA DELHI NCR,DELHI NCR,NORTH TWO,April
14,01-04-2025,MUDRA SPMT,STH-AP-5751,VISAKHAPATNAM (VIZAG),ANDHRA PRADESH,SOUTH,April
15,01-04-2025,MUDRA SPMT,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,April
16,01-04-2025,MUDRA SPMT,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,April
17,01-04-2025,MUDRA SPMT,STH-KL-5742,COCHIN (ERNAKULAM),KERALA,SOUTH,April
18,01-04-2025,MUDRA SPMT,STH-KL-5743,THRISSUR,KERALA,SOUTH,April
19,01-04-2025,MUDRA SPMT,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,April
20,01-04-2025,MUDRA SPMT,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,April
21,01-04-2025,MUDRA SPMT,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,April
22,01-04-2025,MUDRA SPMT,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,April
23,01-04-2025,MUDRA SPMT,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,April
24,01-04-2025,MUDRA SPMT,WST-GJ-2582,RAJKOT,GUJARAT,WEST,April
25,01-04-2025,MUDRA SPMT,WST-MH-1620,PIMPRI-CHINCHWAD,MAHARASHTRA,WEST,April
26,01-04-2025,MUDRA SPMT,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,April
27,01-04-2025,MUDRA SPMT,WST-MH-2685,PUNE,MAHARASHTRA,WEST,April
28,01-04-2025,MUDRA SPMT,WST-MH-2687,NASHIK,MAHARASHTRA,WEST,April
29,01-04-2025,MUDRA SPMT,WST-MH-2688,AURANGABAD MAHARASHTRA,MAHARASHTRA,WEST,April
30,01-04-2025,MUDRA SPMT,WST-MH-2690,NAVI MUMBAI,MAHARASHTRA,WEST,April
31,01-04-2025,MUDRA SPMT,WST-MH-2806,VASAI,MAHARASHTRA,WEST,April
32,01-04-2025,MUDRA SPMT,WST-MP-2585,INDORE,MADHYA PRADESH,WEST,April
33,01-06-2025,ECO 5,EST-AS-1420,GUWAHATI,ASSAM,EAST,June
34,01-06-2025,ECO 5,EST-JH-1398,RANCHI,JHARKHAND,EAST,June
35,01-06-2025,ECO 5,EST-OR-1466,BHUBANESWAR,ODISHA,EAST,June
36,01-06-2025,ECO 5,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,June
37,01-06-2025,ECO 5,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,June
38,01-06-2025,ECO 5,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,June
39,01-06-2025,ECO 5,NR1-UP-3562,KANPUR,UTTAR PRADESH,NORTH ONE,June
40,01-06-2025,ECO 5,NR2-DL-4526,DELHI,DELHI,NORTH TWO,June
41,01-06-2025,ECO 5,NR2-PB-4514,CHANDIGARH,PUNJAB,NORTH TWO,June
42,01-06-2025,ECO 5,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,June
43,01-06-2025,ECO 5,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,June
44,01-06-2025,ECO 5,STH-KA-5817,BENGALURU,KARNATAKA,SOUTH,June
45,01-06-2025,ECO 5,STH-KL-5742,COCHIN  (ERNAKULAM),KERALA,SOUTH,June
46,01-06-2025,ECO 5,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,June
47,01-06-2025,ECO 5,STH-TN-5857,MADURAI,TAMIL NADU,SOUTH,June
48,01-06-2025,ECO 5,STH-TN-5859,TIRUCHIRAPPALLI (TRICHY),TAMIL NADU,SOUTH,June
49,01-06-2025,ECO 5,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,June
50,01-06-2025,ECO 5,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,June
51,01-06-2025,ECO 5,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,June
52,01-06-2025,ECO 5,WST-GJ-2579,AHMEDABAD,GUJARAT,WEST,June
53,01-06-2025,ECO 5,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,June
54,01-06-2025,ECO 5,WST-GJ-2581,SURAT,GUJARAT,WEST,June
55,01-06-2025,ECO 5,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,June
