sr,exam_date,exam_name,dms_code,updated_venue_name
1,6/14/2024,MUDRA,EST-WB-1430,KOLKATA - EST-WB-1430-NXTERA SERVICES PRIVATE LIMITED
2,6/14/2024,MUDRA,NR2-PB-4502,JALANDHAR - NR2-PB-4502-DAV INSTITUTE OF ENGINEERING AND TECHNOLOGY
3,6/14/2024,MUDRA,STH-AP-5696,KAKINADA - STH-AP-5696-SOFT TECHNOLOGIES
4,6/14/2024,MUDRA,STH-TS-5727,HYDERABAD - STH-TS-5727-THE INSTITUTION OF ELECTRONICS AND TELECOMMUNICATION ENGINEERS-IETE
5,6/14/2024,MUDRA,WST-MH-2235,PUNE - WST-MH-2235-VISHWAKARMA COLLEGE OF ARTS COMMERCE AND SCIENCE-VIIT
6,6/16/2024,IBIS JA,NR1-BR-3234,MOTIHARI - NR1-BR-3234-ARUSH ANAND INFOTECH
7,6/16/2024,IBIS JA,NR2-HR-4592,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER
8,6/16/2024,IBIS JA,NR2-JK-4488,JAMMU - NR2-JK-4488-DIGITAL COMPUTER EDUCATION
9,6/16/2024,IBIS JA,NR2-PB-4501,JALANDHAR - NR2-PB-4501-TRINITY COLLEGE
10,6/16/2024,MUDRA,STH-KA-5034,BANGALORE - STH-KA-5034- E MERIT - RT NAGAR
11,6/16/2024,MUDRA,WST-GJ-2030,AHMEDABAD - WST-GJ-2030-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT-AHMEDABAD
12,6/21/2024,MUDRA,STH-KA-5035,BANGALORE - E PAREEKSHA
13,6/21/2024,MUDRA,WST-CG-2500,RAIGARH CG - UTTAM MEMORIAL COLLEGE
14,6/21/2024,MUDRA,WST-MH-2243,THANE - MBC-THANE
15,6/21/2024,MUDRA,WST-MH-2745,THANE - MBC-THANE
16,6/22/2024,IBIS JA,NR1-BR-3234,MOTIHARI - NR1-BR-3234-ARUSH ANAND INFOTECH
17,6/22/2024,IBIS JA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
18,6/22/2024,IBIS JA,NR2-DL-4519,NEW DELHI - NR2-DL-4519-NEW OXFORD PUBLIC SCHOOL_1
19,6/22/2024,IBIS JA,NR2-DL-4519,NEW DELHI - NR2-DL-4519-NEW OXFORD PUBLIC SCHOOL-1
20,6/22/2024,IBIS JA,NR2-HR-4592,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER
21,6/22/2024,IBIS JA,WST-MH-2464,MUMBAI - WST-MH-2464-BABASAHEB GAWDE INSTITUTE OF TECHNOLOGY
22,6/23/2024,BHARAT,WST-MH-2664,NAVI MUMBAI - WST-MH-2664-BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGIN AND TECH
23,6/23/2024,BHARAT,WST-MH-2746,PUNE - WST-MH-2746-AJEENKYA DY PATIL COLLEGE OF ENGINEERING
24,6/23/2024,BHARAT,WST-MH-2750,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES_2
25,6/23/2024,BHARAT,WST-MH-2750,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES_1
26,6/23/2024,BHARAT,WST-MH-2750,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES-2
27,6/23/2024,BHARAT,WST-MH-2750,PUNE - WST-MH-2750-NOVA CONSULTANCY SERVICES-1
28,6/29/2024,NARMADA ICAR,NR1-UP-3516,NOIDA - NR1-UP-3516-NTA EXAM CENTRE_A1
29,6/29/2024,NARMADA ICAR,NR1-UP-3516,NOIDA - NR1-UP-3516-NTA EXAM CENTRE-A1
30,6/29/2024,NARMADA ICAR,NR2-UK-4483,DEHRADUN - NR2-UK-4483-INSTITUTE OF TECHNOLOGY AND MANAGEMENT
31,6/29/2024,NARMADA ICAR,STH-AP-5022,VIJAYAWADA - STH-AP-5022-LAXMI BALAJI COMPUTERS
32,6/29/2024,NARMADA ICAR,WST-MH-2207,JALGAON - WST-MH-2207-KCES COLLEGE OF ENGINEERING AND MANAGEMENT
33,6/29/2024,NARMADA ICAR,WST-MP-2147,JABALPUR - WST-MP-2147-LAKSHMI NARAIN COLLEGE OF TECHNOLOGY-LNCT_1
34,6/29/2024,NARMADA ICAR,WST-MP-2147,JABALPUR - WST-MP-2147-LAKSHMI NARAIN COLLEGE OF TECHNOLOGY-LNCT-1
35,6/30/2024,BHARAT,EST-WB-1445,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA
36,6/30/2024,BHARAT,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
37,6/30/2024,BHARAT,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED NA MUMBAI
38,6/30/2024,BHARAT,WST-MH-2710,PUNE - WST-MH-2710-BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY INST OF MANAG AND ENTREPRE DEVE
39,7/1/2024,MUDRA,NR1-UP-3552,MEERUT - NR1-UP-3552-NSEIT LIMITED - MEERUT
40,7/1/2024,MUDRA,NR2-HR-4098,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE - BLOCK-D
41,7/1/2024,MUDRA,WST-GJ-2581,SURAT - WST-GJ-2581-NSEIT LIMITED - SURAT
42,7/1/2024,MUDRA,WST-MH-2243,THANE - WST-MH-2243-MBC-THANE
43,7/7/2024,IBIS CA,NR1-BR-3017,DARBHANGA - NR1-BR-3017-MANGLAM INFOSOL
44,7/7/2024,IBIS CA,NR1-BR-3590,PATNA - NR1-BR-3590-MANGAL MURTI ONLINE EXAMINATION
45,7/7/2024,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
46,7/7/2024,IBIS CA,NR2-HR-4592,ROHTAK - NR2-HR-4592-DM ONLINE EXAMINATION CENTER
47,7/7/2024,IBIS CA,NR2-PB-4512,PATIALA - NR2-PB-4512-SHRI GURU HARKISHAN COLLEGE OF MGT AND TECH ONLINE EXAMINATION CENTRE
48,7/7/2024,SILVER,STH-AP-5014,KURNOOL - STH-AP-5014-SANDEEPANI EDUCATIONAL SOCIETY
49,7/9/2024,SHIKHAR ATS,EST-JH-1044,JAMSHEDPUR - EST-JH-1044-DBMS CAREER ACEDEMY
50,7/9/2024,SHIKHAR ATS,EST-JH-1403,BOKARO - EST-JH-1403-RR TECHNOLOGY
51,7/9/2024,SHIKHAR ATS,EST-WB-1420,KOLKATA - EST-WB-1420-TALENIQ TECHNOLOGIES PVT LTD
52,7/9/2024,SHIKHAR ATS,NR2-HR-4098,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D
53,7/9/2024,SHIKHAR ATS,STH-TN-5853,CHENNAI - STH-TN-5853-MOHAMMED SATHAK AJ COLLEGE OF ENGINEERING
54,7/10/2024,NARMADA NCET,NR1-BR-3627,PATNA - NR1-BR-3627-HAANSA EDUCOM PRIVATE LIMITED
55,7/10/2024,NARMADA NCET,NR2-CH-4281,CHANDIGARH - NR2-CH-4281-CHANDIGARH UNIVERSITY_2
56,7/10/2024,NARMADA NCET,NR2-CH-4281,CHANDIGARH - NR2-CH-4281-CHANDIGARH UNIVERSITY-2
